alcohol_g_100g_ml,allowed_meals,carb_bucket,carb_conf,carb_evidence,carb_micro,carbohydrate_g_100g_ml,ciqual_code,energy_flag_ml,exclude,fat_g_100g_ml,fibres_g_100g_ml,is_baby_food,is_salty,is_sweet,kcal_calc_ml,kcal_sanitized,macro_tags,main_group,name,name_core,name_tags,protein_bucket,protein_conf,protein_evidence,protein_g_100g_ml,protein_micro,role_protein,role_side_carb,role_side_veg,salt_g_100g_ml,sub_group,sub_sub_group,sugars_g_100g_ml,tag_boiled,tag_breakfast_cereal,tag_breakfasty,tag_composite_dish_hint,tag_dairy_dessert_hint,tag_dessert_like,tag_drink,tag_fried,tag_fried_or_chips,tag_grilled,tag_healthy_fat_source,tag_heavy_sauce,tag_high_fibre_choice,tag_red_meat,tag_refined_carb,tag_roasted,tag_salad_like,tag_sauce_rich,tag_snack_like,tag_snackable,tag_starch_powder,tag_sugary_breakfast_cereal,tag_trans_risk,tag_ultra_processed_hint,tag_vegan_safe,tag_vegetarian_safe,uid,veg_bucket,veg_conf,veg_evidence,veg_micro,water_g_100g_ml,name_clean,canonical_name_guess,entity_level_guess,keep_for_food_db,review_flag,drop_reason
0.0,breakfast;dinner;lunch;snack,,,,,2.42,20816,0,0,,2.9,0,0,0,,9.7,carb_low,"fruits, vegetables, legumes and nuts","local variety), pulp, grated, raw, sampled in the island of La Martinique","local variety), pulp, grated, raw, sampled in the island of La Martinique",,veggie,0.0,,,,1,0,1,,vegetables,vegetables from Martinique and their products,0.82,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,local-variety-pulp-grated-raw-sampled-in-the-island-of-la-martinique_20816,,0.0,,,,"local variety, pulp, grated, raw, sampled in the island of la martinique","local variety, pulp, grated",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,5.62,20817,0,0,0.05,2.0,0,0,0,27.0,27.0,protein_low;carb_moderate;fat_low,"fruits, vegetables, legumes and nuts","Pumpkin (phoenix variety), pulp, steamed, sampled in the island of La Martinique","Pumpkin, pulp, steamed, sampled in the island of La Martinique",phoenix_variety,veggie,0.0,,1.03,,1,0,1,,vegetables,vegetables from Martinique and their products,1.56,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,pumpkin-phoenix-variety-pulp-steamed-sampled-in-the-island-of-la-martinique_20817,,0.0,,,90.6,"pumpkin, pulp, steamed, sampled in the island of la martinique","pumpkin, pulp, steamed, sampled in the island of la martinique",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,3.51,20818,0,0,,1.6,0,0,0,,14.0,carb_low,"fruits, vegetables, legumes and nuts","Pumpkin (phoenix variety), pulp, grated, raw, sampled in the island of La Martinique","Pumpkin, pulp, grated, raw, sampled in the island of La Martinique",phoenix_variety,veggie,0.0,,,,1,0,1,,vegetables,vegetables from Martinique and their products,1.44,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,pumpkin-phoenix-variety-pulp-grated-raw-sampled-in-the-island-of-la-martinique_20818,,0.0,,,,"pumpkin, pulp, grated, raw, sampled in the island of la martinique","pumpkin, pulp, grated",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,4.37,20819,0,0,,2.4,0,0,0,,17.5,carb_low,"fruits, vegetables, legumes and nuts","Pumpkin (phoenix variety), pulp, frozen, steamed, sampled in the island of La Martinique","Pumpkin, pulp, frozen, steamed, sampled in the island of La Martinique",phoenix_variety;frozen,veggie,0.0,,,,1,0,1,,vegetables,vegetables from Martinique and their products,1.47,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,pumpkin-phoenix-variety-pulp-frozen-steamed-sampled-in-the-island-of-la-martinique_20819,,0.0,,,,"pumpkin, pulp, frozen, steamed, sampled in the island of la martinique","pumpkin, pulp",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20820,0,0,,2.8,0,0,0,,0.0,,"fruits, vegetables, legumes and nuts","Okra, whole, canned, not drained, sampled in the island of La Martinique","Okra, whole, canned, not drained, sampled in the island of La Martinique",canned,veggie,0.0,,,,1,0,1,,vegetables,vegetables from Martinique and their products,,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,okra-whole-canned-not-drained-sampled-in-the-island-of-la-martinique_20820,cooked_veg,0.9,macro:name_hints:cooked_veg,,92.3,"okra, whole, canned, not drained, sampled in the island of la martinique","okra, whole",semi_atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,4.69,20821,0,0,0.3,4.8,0,0,0,28.7,28.7,protein_low;carb_low;fat_low,"fruits, vegetables, legumes and nuts","Okra, whole, canned, steamed, sampled in the island of La Martinique","Okra, whole, canned, steamed, sampled in the island of La Martinique",canned,veggie,0.0,,1.8,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,okra-whole-canned-steamed-sampled-in-the-island-of-la-martinique_20821,cooked_veg,0.9,macro:name_hints:cooked_veg,,87.5,"okra, whole, canned, steamed, sampled in the island of la martinique","okra, whole",semi_atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,5.28,20822,0,0,0.1,5.17,0,0,0,23.0,23.0,protein_low;carb_moderate;fat_low,"fruits, vegetables, legumes and nuts","Okra, pulp, blanched, frozen, sampled in the island of La Martinique","Okra, pulp, blanched, frozen, sampled in the island of La Martinique",frozen,veggie,0.0,,0.24,,1,0,1,,vegetables,vegetables from Martinique and their products,,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,okra-pulp-blanched-frozen-sampled-in-the-island-of-la-martinique_20822,cooked_veg,0.9,macro:name_hints:cooked_veg,,88.4,"okra, pulp, blanched, frozen, sampled in the island of la martinique","okra, pulp, blanched",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,17.9,20823,0,0,0.3,3.9,0,0,0,80.9,80.9,protein_low;carb_high;fat_low,"fruits, vegetables, legumes and nuts","Yam cousse-couche, pulp, steamed, sampled in the island of La Martinique","Yam cousse-couche, pulp, steamed, sampled in the island of La Martinique",,eggs,0.0,,1.65,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,yam-cousse-couche-pulp-steamed-sampled-in-the-island-of-la-martinique_20823,,0.0,,,75.4,"yam cousse-couche, pulp, steamed, sampled in the island of la martinique","yam cousse-couche, pulp, steamed, sampled in the island of la martinique",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,27.6,20824,0,0,0.37,2.67,0,0,0,121.9,121.9,protein_low;carb_high;fat_low,"fruits, vegetables, legumes and nuts","Yam yellow, pulp, steamed, sampled in the island of La Martinique","Yam yellow, pulp, steamed, sampled in the island of La Martinique",,veggie,0.0,,2.04,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,yam-yellow-pulp-steamed-sampled-in-the-island-of-la-martinique_20824,,0.0,,,66.6,"yam yellow, pulp, steamed, sampled in the island of la martinique","yam yellow, pulp, steamed, sampled in the island of la martinique",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,18.4,20825,0,0,0.3,3.9,0,0,0,85.3,85.3,protein_low;carb_high;fat_low,"fruits, vegetables, legumes and nuts","Yam St Martin, pulp, steamed, sampled in the island of La Martinique","Yam St Martin, pulp, steamed, sampled in the island of La Martinique",,veggie,0.0,,2.25,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,yam-st-martin-pulp-steamed-sampled-in-the-island-of-la-martinique_20825,,0.0,,,74.2,"yam st martin, pulp, steamed, sampled in the island of la martinique","yam st martin, pulp, steamed, sampled in the island of la martinique",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20826,0,0,0.18,,0,0,0,,6.5,protein_low;fat_low,"fruits, vegetables, legumes and nuts","Jerusalem artichokee, pulp, steamed, sampled in the island of La Martinique","Jerusalem artichokee, pulp, steamed, sampled in the island of La Martinique",,veggie,0.0,,1.23,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,jerusalem-artichokee-pulp-steamed-sampled-in-the-island-of-la-martinique_20826,,0.0,,,82.7,"jerusalem artichokee, pulp, steamed, sampled in the island of la martinique","jerusalem artichokee, pulp, steamed, sampled in the island of la martinique",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20827,0,0,0.0,,0,0,0,,2.4,protein_low;fat_low,"fruits, vegetables, legumes and nuts","Kamanioc, pulp, steamed","Kamanioc, pulp, steamed",,veggie,0.0,,0.6,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,kamanioc-pulp-steamed_20827,,0.0,,,62.3,"kamanioc, pulp, steamed","kamanioc, pulp, steamed",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20828,0,0,0.8,,0,0,0,,17.5,protein_low;fat_low,"fruits, vegetables, legumes and nuts","Massissi, pulp, raw","Massissi, pulp, raw",,veggie,0.0,,2.58,,1,0,1,,vegetables,vegetables from Martinique and their products,,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,massissi-pulp-raw_20828,,0.0,,,83.8,"massissi, pulp, raw","massissi, pulp",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20829,0,0,0.003,,0,0,0,,2.7,protein_low;fat_low,"fruits, vegetables, legumes and nuts","Papaya, pulp, raw, from Martinique","Papaya, pulp, raw, from Martinique",,veggie,0.0,,0.67,,1,0,1,,vegetables,vegetables from Martinique and their products,,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,papaya-pulp-raw-from-martinique_20829,,0.0,,,90.4,"papaya, pulp, raw, from martinique","papaya, pulp",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20830,0,0,0.0,,0,0,0,,2.5,protein_low;fat_low,"fruits, vegetables, legumes and nuts","Papaya, pulp, steamed","Papaya, pulp, steamed",,veggie,0.0,,0.63,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,papaya-pulp-steamed_20830,,0.0,,,90.5,"papaya, pulp, steamed","papaya, pulp, steamed",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,potatoes,0.0,,,19.3,20831,0,0,,4.9,0,0,0,,77.2,carb_high,"fruits, vegetables, legumes and nuts","Sweet potatoe, pulp, blanched, frozen","Sweet potatoe, pulp, blanched",frozen,veggie,0.0,,,,1,1,1,,vegetables,vegetables from Martinique and their products,0.021,,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,sweet-potatoe-pulp-blanched-frozen_20831,,0.0,,,63.1,"sweet potatoe, pulp, blanched","sweet potatoe, pulp, blanched",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,potatoes,0.0,,,25.2,20832,0,0,0.067,9.2,0,0,0,107.3,107.3,protein_low;carb_high;fat_low,"fruits, vegetables, legumes and nuts","Sweet potatoe, pulp, steamed","Sweet potatoe, pulp, steamed",,veggie,0.0,,1.48,,1,1,1,,vegetables,vegetables from Martinique and their products,0.19,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,,,sweet-potatoe-pulp-steamed_20832,,0.0,,,63.3,"sweet potatoe, pulp, steamed","sweet potatoe, pulp, steamed",atomic,True,False,
0.0,breakfast;dinner;lunch;snack,,,,,,20833,0,0,0.74,,0,0,0,,71.9,protein_high;fat_low,"fruits, vegetables, legumes and nuts","Pigeon pea, whole, steamed","Pigeon pea, whole, steamed",,veg_pulses,0.9,macro:name_hints:veg_pulses,16.3,,1,0,1,,vegetables,vegetables from Martinique and their products,,1.0,0,1,,,0,,,0,,0,0,1,0,0,,,,0,,,0,0,,1.0,1.0,pigeon-pea-whole-steamed_20833,,0.0,,,49.1,"pigeon pea, whole, steamed","pigeon pea, whole, steamed",atomic,True,False,
