uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
sweetbread-lamb-cooked_40303,40303,"Sweetbread, lamb, cooked","Sweetbread, lamb, cooked",,"meat, egg and fish",cooked meat,offals,227,227.1,0,22.8,0,15.1,,0,0.13,0,59.7,protein_high;carb_low;fat_high
sweetbread-calf-sauteed-pan-fried_40305,40305,"Sweetbread, calf, sautéed/pan-fried","Sweetbread, calf, sautéed/pan-fried",,"meat, egg and fish",cooked meat,offals,136,136.2,0,21,0,5.8,0,0,0.15,0,73.3,protein_high;carb_low;fat_moderate
kidney-all-types-cooked_40401,40401,"Kidney, all types, cooked","Kidney, all types, cooked",,"meat, egg and fish",cooked meat,offals,161,161.2,0,26.1,0,6.31,0,0,0.25,0,67.8,protein_high;carb_low;fat_moderate
kidney-beef-cooked_40403,40403,"Kidney, beef, cooked","Kidney, beef, cooked",,"meat, egg and fish",cooked meat,offals,171,171,0,27,0,7,0,0,0.24,0,66.9,protein_high;carb_low;fat_moderate
kidney-pork-cooked_40405,40405,"Kidney, pork, cooked","Kidney, pork, cooked",,"meat, egg and fish",cooked meat,offals,144,143.9,0,25.4,0,4.7,,0,0.2,0,68.7,protein_high;carb_low
kidney-lamb-braised_40406,40406,"Kidney, lamb, braised","Kidney, lamb, braised",,"meat, egg and fish",cooked meat,offals,127,127.4,0,23.7,0,3.62,0,0,0.38,0,70.5,protein_high;carb_low
kidney-veal-sauteed-pan-fried_40408,40408,"Kidney, veal, sautéed/pan-fried","Kidney, veal, sautéed/pan-fried",,"meat, egg and fish",cooked meat,offals,167,167,0,26,0,7,0,0,0.28,0,67.7,protein_high;carb_low;fat_moderate
offal-cooked-average_40601,40601,"Offal, cooked (average)","Offal, cooked",note:average,"meat, egg and fish",cooked meat,offals,162,162,0,25.1,1.36,6.24,0.026,0.12,0.6,0,64.8,protein_high;carb_low;fat_moderate
preserved-gizzards-duck-canned_40701,40701,"Preserved gizzards, duck, canned","Preserved gizzards, duck",canned,"meat, egg and fish",cooked meat,offals,149,148.5,0,32.4,0,2.1,0,0.8,1.92,0,63.4,protein_high;carb_low;fat_low
beef-rib-raw_6001,6001,"Beef, rib, raw","Beef, rib, raw",,"meat, egg and fish",raw meat,beef and veal,251,,0,18.7,,19.6,,0,0.16,0,,protein_high;fat_high
beef-shoulder-raw_6002,6002,"Beef, shoulder, raw","Beef, shoulder, raw",,"meat, egg and fish",raw meat,beef and veal,168,168.4,0,20.4,0,9.64,0,0,0.17,0,69,protein_high;carb_low;fat_moderate
beef-chuck-steak-raw_6003,6003,"Beef, chuck steak, raw","Beef, chuck steak, raw",,"meat, egg and fish",raw meat,beef and veal,201,200.6,0,19,1.45,13.2,0.3,0,0.17,0,65.8,protein_high;carb_low;fat_high
beef-round-raw_6102,6102,"Beef, round, raw","Beef, round, raw",,"meat, egg and fish",raw meat,beef and veal,148,148.6,0,21.3,0,7.05,0,0,0.14,0,68.9,protein_high;carb_low;fat_moderate
beef-rib-steak-raw_6103,6103,"Beef, rib steak, raw","Beef, rib steak, raw",,"meat, egg and fish",raw meat,beef and veal,231,231.5,0,19.4,0,17.1,0,0,0.075,0,62.5,protein_high;carb_low;fat_high
beef-eye-of-round-raw_6106,6106,"Beef, eye of round, raw","Beef, eye of round, raw",,"meat, egg and fish",raw meat,beef and veal,111,111.3,0,22.9,0.38,2.02,0.3,0,0.15,0,74,protein_high;carb_low;fat_low
beef-sirloin-steak-raw_6111,6111,"Beef, sirloin steak, raw","Beef, sirloin steak, raw",,"meat, egg and fish",raw meat,beef and veal,152,152.3,0,22.3,0.6,6.74,0,0,0.082,0,70.5,protein_high;carb_low;fat_moderate
beef-tenderloin-raw_6116,6116,"Beef, tenderloin, raw","Beef, tenderloin, raw",,"meat, egg and fish",raw meat,beef and veal,132,131.8,0,21.6,0.22,4.95,0.3,0,0.15,0,72.8,protein_high;carb_low
beef-short-ribs-raw_6122,6122,"Beef, short ribs, raw","Beef, short ribs, raw",,"meat, egg and fish",raw meat,beef and veal,287,286.9,0,18.4,0,23.7,,0,0.12,0,58.2,protein_high;carb_low;fat_high
beef-thin-flank-raw_6130,6130,"Beef, thin flank, raw","Beef, thin flank, raw",,"meat, egg and fish",raw meat,beef and veal,154,153.7,0,19,0,8.63,0,0,0.15,0,71.5,protein_high;carb_low;fat_moderate
beef-cheek-raw_6140,6140,"Beef, cheek, raw","Beef, cheek, raw",,"meat, egg and fish",raw meat,beef and veal,136,136,0,22.3,0.4,5.02,0,0,0.18,0,73.2,protein_high;carb_low;fat_moderate
beef-knuckle-raw_6150,6150,"Beef, knuckle, raw","Beef, knuckle, raw",,"meat, egg and fish",raw meat,beef and veal,122,121.8,0,20.9,0,4.25,0,0,0.14,0,72.5,protein_high;carb_low
beef-topside-raw_6160,6160,"Beef, topside, raw","Beef, topside, raw",,"meat, egg and fish",raw meat,beef and veal,116,115.7,0,23.1,0.57,2.34,0,0,0.078,0,74.8,protein_high;carb_low;fat_low
beef-steak-or-beef-steak-raw_6201,6201,"Beef, steak or beef steak, raw","Beef, steak or beef steak, raw",,"meat, egg and fish",raw meat,beef and veal,223,222.6,0,19.2,0,16.2,0,0,0.15,0,63.1,protein_high;carb_low;fat_high
beef-bolar-blade-raw_6202,6202,"Beef, bolar-blade, raw","Beef, bolar-blade, raw",,"meat, egg and fish",raw meat,beef and veal,118,117.4,0,21.8,0,3.36,0,0,0.097,0,74.5,protein_high;carb_low
beef-hanger-steak-raw_6204,6204,"Beef, hanger steak, raw","Beef, hanger steak, raw",,"meat, egg and fish",raw meat,beef and veal,138,137.7,0,19.9,0.62,6.18,0.3,0,0.18,0,72.4,protein_high;carb_low;fat_moderate
beef-rump-steak-raw_6206,6206,"Beef, rump steak, raw","Beef, rump steak, raw",,"meat, egg and fish",raw meat,beef and veal,114,114.1,0,22.5,0.4,2.5,0,0,0.13,0,70.9,protein_high;carb_low;fat_low
beef-flank-steak-raw_6212,6212,"Beef, flank steak, raw","Beef, flank steak, raw",,"meat, egg and fish",raw meat,beef and veal,133,132.6,0,20.4,0,5.67,0,0,0.085,0,73.7,protein_high;carb_low;fat_moderate
beef-stewing-meat-raw_6231,6231,"Beef, stewing meat, raw","Beef, stewing meat, raw",,"meat, egg and fish",raw meat,beef and veal,164,163.5,0,24,0,7.5,0,0,0.1,0,,protein_high;carb_low;fat_moderate
beef-neck-raw_6240,6240,"Beef, neck, raw","Beef, neck, raw",,"meat, egg and fish",raw meat,beef and veal,198,197.8,0,20.1,0.78,12.7,0.3,0,0.17,0,66.7,protein_high;carb_low;fat_high
beef-minced-steak-5-fat-raw_6250,6250,"Beef, minced steak, 5% fat, raw","Beef, minced steak, 5% fat, raw",,"meat, egg and fish",raw meat,beef and veal,130,130.1,0,21.9,0.3,4.59,0,0,0.097,0,74,protein_high;carb_low
beef-minced-steak-10-fat-raw_6252,6252,"Beef, minced steak, 10% fat, raw","Beef, minced steak, 10% fat, raw",,"meat, egg and fish",raw meat,beef and veal,171,170.9,0,20,0,10.1,0,0,0.16,0,69.5,protein_high;carb_low;fat_high
beef-minced-steak-15-fat-raw_6254,6254,"Beef, minced steak, 15% fat, raw","Beef, minced steak, 15% fat, raw",,"meat, egg and fish",raw meat,beef and veal,209,209.6,0,20.2,0.47,14.1,0,0,0.1,0,67.2,protein_high;carb_low;fat_high
beef-minced-steak-20-fat-raw_6256,6256,"Beef, minced steak, 20% fat, raw","Beef, minced steak, 20% fat, raw",,"meat, egg and fish",raw meat,beef and veal,249,249.2,0,17.3,0,20,0,0,0.16,0,61.9,protein_high;carb_low;fat_high
beef-chuck-raw_6270,6270,"Beef, chuck, raw","Beef, chuck, raw",,"meat, egg and fish",raw meat,beef and veal,144,143.7,0,21.2,0,6.54,0,0,0.12,0,72.3,protein_high;carb_low;fat_moderate
beef-oxtail-raw_6311,6311,"Beef, oxtail, raw","Beef, oxtail, raw",,"meat, egg and fish",raw meat,beef and veal,203,203,0,21.5,0.23,12.9,0.3,0,0.28,0,65,protein_high;carb_low;fat_high
veal-chop-raw_6510,6510,"Veal, chop, raw","Veal, chop, raw",,"meat, egg and fish",raw meat,beef and veal,189,189.3,0,18.3,0,12.9,0,0,0.11,0,68.9,protein_high;carb_low;fat_high
veal-loin-raw_6513,6513,"Veal, loin, raw","Veal, loin, raw",,"meat, egg and fish",raw meat,beef and veal,145,144.8,0,19.5,0.4,7.25,0,0,0.22,0,74.1,protein_high;carb_low;fat_moderate
veal-escalope-raw_6521,6521,"Veal, escalope, raw","Veal, escalope, raw",,"meat, egg and fish",raw meat,beef and veal,108,108.5,0,20.7,0.58,2.6,0,0,0.097,0,73.7,protein_high;carb_low;fat_low
veal-tenderloin-raw_6522,6522,"Veal, tenderloin, raw","Veal, tenderloin, raw",,"meat, egg and fish",raw meat,beef and veal,111,110.4,0,21.8,0,2.58,0,0,0.19,0,75.4,protein_high;carb_low;fat_low
veal-fillet-raw_6530,6530,"Veal fillet, raw","Veal fillet, raw",,"meat, egg and fish",raw meat,beef and veal,95,95,0,20.6,0,1.4,0,0,0.24,0,,protein_high;carb_low;fat_low
veal-minced-steak-20-fat-raw_6535,6535,"Veal, minced steak, 20% fat, raw","Veal, minced steak, 20% fat, raw",,"meat, egg and fish",raw meat,beef and veal,243,243.9,0,16.7,0.4,19.5,0,0,0.19,0,,protein_high;carb_low;fat_high
veal-minced-steak-15-fat-raw_6536,6536,"Veal, minced steak, 15% fat, raw","Veal, minced steak, 15% fat, raw",,"meat, egg and fish",raw meat,beef and veal,208,,0,18.2,,15,,0,0.17,0,,protein_high;fat_high
veal-breast-raw_6540,6540,"Veal, breast, raw","Veal, breast, raw",,"meat, egg and fish",raw meat,beef and veal,176,175.6,0,18.7,0,11.2,0,0,0.21,0,67.7,protein_high;carb_low;fat_high
veal-roast-raw_6550,6550,"Veal, roast, raw","Veal, roast, raw",,"meat, egg and fish",raw meat,beef and veal,145,144.8,0,27.3,0,3.96,0,0,0.2,0,66.5,protein_high;carb_low
veal-shoulder-raw_6560,6560,"Veal, shoulder, raw","Veal, shoulder, raw",,"meat, egg and fish",raw meat,beef and veal,124,124.5,0,20.7,0,4.63,0,0,0.15,0,74.9,protein_high;carb_low
calf-foot-raw_6580,6580,"Calf, foot, raw","Calf, foot, raw",,"meat, egg and fish",raw meat,beef and veal,184,,0,19.1,,12,,0,0.12,0,,protein_high;fat_high
veal-knuckle-or-shank-raw_6583,6583,"Veal, knuckle or shank, raw","Veal, knuckle or shank, raw",,"meat, egg and fish",raw meat,beef and veal,118,118.1,0,21.3,0,3.66,0,0,0.21,0,75.4,protein_high;carb_low
veal-neck-raw_6590,6590,"Veal, neck, raw","Veal, neck, raw",,"meat, egg and fish",raw meat,beef and veal,133,,0,19.8,,5.92,,0,0.15,0,73.8,protein_high;fat_moderate
pork-shoulder-raw_28001,28001,"Pork, shoulder, raw","Pork, shoulder, raw",,"meat, egg and fish",raw meat,pork,178,177.9,0,18.9,0.38,11.2,0,0,0.12,0,69.6,protein_high;carb_low;fat_high
pork-belly-raw_28002,28002,"Pork, belly, raw","Pork, belly, raw",,"meat, egg and fish",raw meat,pork,253,252.5,0,17,0,20.5,,0,0.14,0,59.8,protein_high;carb_low;fat_high
pork-loin-raw_28003,28003,"Pork loin, raw","Pork loin, raw",,"meat, egg and fish",raw meat,pork,175,175.2,0,20.8,0.75,9.89,0,0,0.17,0,67.7,protein_high;carb_low;fat_moderate
pork-knuckle-or-shank-raw_28004,28004,"Pork, knuckle or shank, raw","Pork, knuckle or shank, raw",,"meat, egg and fish",raw meat,pork,187,187.6,0,19.9,0,12,0,0,0.21,0,67.7,protein_high;carb_low;fat_high
pork-chop-raw_28100,28100,"Pork, chop, raw","Pork, chop, raw",,"meat, egg and fish",raw meat,pork,164,164.4,0,19.8,0.38,9.3,0,0,0.12,0,69.5,protein_high;carb_low;fat_moderate
pork-round-steak-raw_28102,28102,"Pork, round steak, raw","Pork, round steak, raw",,"meat, egg and fish",raw meat,pork,149,148.8,0,20.2,0,7.56,0,0,0.14,0,71.2,protein_high;carb_low;fat_moderate
pork-rack-raw_28104,28104,"Pork, rack, raw","Pork, rack, raw",,"meat, egg and fish",raw meat,pork,146,145.9,0,22.7,0.4,5.94,,0,0.094,0,70.3,protein_high;carb_low;fat_moderate
pork-tenderloin-lean-raw_28201,28201,"Pork tenderloin, lean, raw","Pork tenderloin, lean, raw",,"meat, egg and fish",raw meat,pork,117,117.2,0,21.2,0,3.6,0,0,0.18,0,74.4,protein_high;carb_low
pork-filet-mignon-raw_28204,28204,"Pork filet mignon, raw","Pork filet mignon, raw",,"meat, egg and fish",raw meat,pork,123,123.2,0,21.2,0.4,4.09,0,0,0.11,0,74.9,protein_high;carb_low
pork-roast-raw_28300,28300,"Pork, roast, raw","Pork, roast, raw",,"meat, egg and fish",raw meat,pork,153,152.9,0,22.3,0.5,6.86,0,0,0.1,0,70.1,protein_high;carb_low;fat_moderate
pork-loin-raw_28302,28302,"Pork, loin, raw","Pork, loin, raw",,"meat, egg and fish",raw meat,pork,198,198.4,0,18,0.1,14,0,0,0.19,0,63,protein_high;carb_low;fat_high
pork-spare-ribs-raw_28400,28400,"Pork, spare-ribs, raw","Pork, spare-ribs, raw",,"meat, egg and fish",raw meat,pork,237,236.4,0,18,0.6,18,0,0,0.12,0,61.9,protein_high;carb_low;fat_high
pork-ham-escalope-raw_28460,28460,"Pork, ham escalope, raw","Pork, ham escalope, raw",,"meat, egg and fish",raw meat,pork,129,128.8,0,21.5,0,4.76,0,0,0.12,0,74.4,protein_high;carb_low
pork-back-fat-rindless-raw_28470,28470,"Pork, back fat, rindless, raw","Pork, back fat, rindless, raw",,"meat, egg and fish",raw meat,pork,744,743.8,0,4.51,0.1,80.6,0.1,0,0.1,0,16.1,carb_low;fat_high
pork-jowl-rindless-raw_28471,28471,"Pork, jowl, rindless, raw","Pork, jowl, rindless, raw",,"meat, egg and fish",raw meat,pork,475,474.5,0,11.6,0.14,47.5,0.14,0,0.17,0,40.3,protein_high;carb_low;fat_high
pork-shoulder-lower-half-without-rind-fat-and-bone-raw_28472,28472,"Pork, shoulder lower half, without rind, fat and bone, raw","Pork, shoulder lower half, fat and bone, raw",without_rind,"meat, egg and fish",raw meat,pork,187,187.2,0,18.9,0.23,12.3,0.23,0,0.2,0,68.7,protein_high;carb_low;fat_high
pork-way-leg-without-rind-fat-and-bone-raw_28473,28473,"Pork, way leg, without rind, fat and bone, raw","Pork, way leg, fat and bone, raw",without_rind,"meat, egg and fish",raw meat,pork,141,141.4,0,20.9,0.28,6.3,0.28,0,0.18,0,72.3,protein_high;carb_low;fat_moderate
pork-knuckle-oh-ham-without-rind-fat-and-bone-raw_28474,28474,"Pork, knuckle oh ham, without rind, fat and bone, raw","Pork, knuckle oh ham, fat and bone, raw",without_rind,"meat, egg and fish",raw meat,pork,148,147.7,0,20.2,0.28,7.31,0.28,0,0.22,0,72.2,protein_high;carb_low;fat_moderate
pork-90-10-trimming-raw_28475,28475,"Pork, 90/10 trimming, raw","Pork, 90/10 trimming, raw",,"meat, egg and fish",raw meat,pork,212,212.1,0,18.8,0.24,15.1,0.24,0,0.17,0,64.6,protein_high;carb_low;fat_high
pork-80-20-trimming-raw_28476,28476,"Pork, 80/20 trimming, raw","Pork, 80/20 trimming, raw",,"meat, egg and fish",raw meat,pork,293,292.5,0,17.3,0.26,24.7,0.26,0,0.17,0,60.1,protein_high;carb_low;fat_high
pork-shoulder-upper-half-without-rind-fat-and-bone-raw_28477,28477,"Pork, shoulder upper half, without rind, fat and bone, raw","Pork, shoulder upper half, fat and bone, raw",without_rind,"meat, egg and fish",raw meat,pork,174,174.2,0,19.9,0.25,10.4,0.25,0,0.2,0,70.4,protein_high;carb_low;fat_high
pork-belly-flank-removed-raw_28479,28479,"Pork, belly, flank removed, raw","Pork, belly, flank removed, raw",,"meat, egg and fish",raw meat,pork,323,322.8,0,15.9,0.22,28.7,0.22,0,0.18,0,55.9,protein_high;carb_low;fat_high
prok-eye-of-shortloin-raw_28480,28480,"Prok, eye of shortloin, raw","Prok, eye of shortloin, raw",,"meat, egg and fish",raw meat,pork,146,146.5,0,22.3,0.37,6.2,0.37,0,0.16,0,70.4,protein_high;carb_low;fat_moderate
chicken-leg-meat-and-skin-raw_36002,36002,"Chicken, leg, meat and skin, raw","Chicken, leg, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,192,190.7,0,17.3,0,13.5,,0,0.22,0,69.2,protein_high;carb_low;fat_high
chicken-meat-raw_36003,36003,"Chicken, meat, raw","Chicken, meat, raw",,"meat, egg and fish",raw meat,poultry,113,113.6,0,20,0,3.73,0,0,0.2,0,74.6,protein_high;carb_low
chicken-white-race-meat-and-skin-raw_36007,36007,"Chicken, white race, meat and skin, raw","Chicken, white race, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,123,123.5,0,21.2,0,4.3,,0,0.2,0,72.1,protein_high;carb_low
chicken-free-range-meat-and-skin-raw_36008,36008,"Chicken, free-range, meat and skin, raw","Chicken, free-range, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,135,135.4,0,21.5,0.2,5.4,0.2,0,0.21,0,67.5,protein_high;carb_low;fat_moderate
chicken-meat-and-skin-raw_36016,36016,"Chicken, meat and skin, raw","Chicken, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,173,172.9,0,20.2,0.3,10.1,0.2,0,0.16,0,68.1,protein_high;carb_low;fat_high
chicken-breast-without-skin-raw_36017,36017,"Chicken, breast, without skin, raw","Chicken, breast, raw",without_skin,"meat, egg and fish",raw meat,poultry,110,107.1,0,23.4,0,1.5,,0,0.11,0,75.1,protein_high;carb_low;fat_low
chicken-high-leg-meat-raw_36019,36019,"Chicken high leg, meat, raw","Chicken high leg, meat, raw",,"meat, egg and fish",raw meat,poultry,116,115.9,0,19.7,0,4.12,0,0,0.24,0,76.2,protein_high;carb_low
chicken-eviscerated-without-offal-raw_36020,36020,"Chicken, eviscerated without offal, raw","Chicken, eviscerated without offal, raw",without_offal,"meat, egg and fish",raw meat,poultry,210,,0,18.6,,15.1,,0,0.18,0,,protein_high;fat_high
chicken-drumstick-raw_36022,36022,"Chicken, drumstick, raw","Chicken, drumstick, raw",,"meat, egg and fish",raw meat,poultry,155,155,0,18.4,0,9.05,0,0,0.23,0,71.7,protein_high;carb_low;fat_moderate
chicken-wing-meat-and-skin-raw_36023,36023,"Chicken, wing, meat and skin, raw","Chicken, wing, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,181,180.6,0,20.4,0,11,0,0,0.22,0,66.9,protein_high;carb_low;fat_high
chicken-leg-meat-raw_36024,36024,"Chicken, leg, meat, raw","Chicken, leg, meat, raw",,"meat, egg and fish",raw meat,poultry,114,113.6,0,19.3,0,4.05,0,0,0.23,0,76,protein_high;carb_low
chicken-breast-meat-and-skin-raw_36029,36029,"Chicken, breast, meat and skin, raw","Chicken, breast, meat and skin, raw",,"meat, egg and fish",raw meat,poultry,157,157.1,0,21.1,0,8.08,0,0,0.16,0,69.7,protein_high;carb_low;fat_moderate
chicken-leg-meat-and-skin-raw-organic_36037,36037,"Chicken, leg, meat and skin, raw, organic","Chicken, leg, meat and skin, raw, organic",,"meat, egg and fish",raw meat,poultry,193,192.1,0,18.1,0,13.3,,0,0.19,0,68.3,protein_high;carb_low;fat_high
chicken-leg-meat-and-skin-raw-label-rouge_36038,36038,"Chicken, leg, meat and skin, raw, label rouge","Chicken, leg, meat and skin, raw, label rouge",,"meat, egg and fish",raw meat,poultry,173,171.8,0,19.1,0,10.6,,0,0.21,0,69.9,protein_high;carb_low;fat_high
chicken-breast-without-skin-raw-organic_36039,36039,"Chicken, breast, without skin, raw, organic","Chicken, breast, raw, organic",without_skin,"meat, egg and fish",raw meat,poultry,118,114.6,0,24.6,0,1.8,,0,0.095,0,74.1,protein_high;carb_low;fat_low
chicken-breast-without-skin-raw-label-rouge_36040,36040,"Chicken, breast, without skin, raw, label rouge","Chicken, breast, raw, label rouge",without_skin,"meat, egg and fish",raw meat,poultry,113,109.8,0,25.2,0,1,,0,0.1,0,73.8,protein_high;carb_low;fat_low
turkey-meat-and-skin-raw_36300,36300,"Turkey, meat and skin, raw","Turkey, meat and skin, raw",,"meat, egg and fish",raw meat,turkey,132,132.4,0,23.4,0,4.31,,0,0.25,0,73.1,protein_high;carb_low
turkey-meat-raw_36301,36301,"Turkey, meat, raw","Turkey, meat, raw",,"meat, egg and fish",raw meat,turkey,110,109.7,0,22.4,0.8,1.88,0.14,0,0.25,0,75.4,protein_high;carb_low;fat_low
turkey-escalope-raw_36304,36304,"Turkey, escalope, raw","Turkey, escalope, raw",,"meat, egg and fish",raw meat,turkey,109,109.4,0,24.1,0.51,1.22,0.32,0,0.2,0,74.3,protein_high;carb_low;fat_low
turkey-leg-meat-and-skin-raw_36305,36305,"Turkey, leg, meat and skin, raw","Turkey, leg, meat and skin, raw",,"meat, egg and fish",raw meat,turkey,150,149.8,0,19.8,0,7.85,0,0,0.24,0,73.4,protein_high;carb_low;fat_moderate
turkey-leg-meat-only-raw_36307,36307,"Turkey, leg, meat only, raw","Turkey, leg, meat only, raw",,"meat, egg and fish",raw meat,turkey,109,109.3,0,21.3,0.4,2.5,0.1,0,0.31,0,76,protein_high;carb_low;fat_low
turkey-wing-raw_36310,36310,"Turkey, wing, raw","Turkey, wing, raw",,"meat, egg and fish",raw meat,turkey,192,191.5,0,20.2,0,12.3,,0,0.14,0,66.5,protein_high;carb_low;fat_high
mutton-meat-raw_21001,21001,"Mutton, meat, raw","Mutton, meat, raw",,"meat, egg and fish",raw meat,lamb and mutton,137,,0,20.6,,6.11,,0,0.22,0,74.2,protein_high;fat_moderate
mutton-shoulder-raw_21003,21003,"Mutton, shoulder, raw","Mutton, shoulder, raw",,"meat, egg and fish",raw meat,lamb and mutton,204,204.1,0,18.3,0.1,14.5,0,0,0.23,0,62.7,protein_high;carb_low;fat_high
sheep-foot-raw_21004,21004,"Sheep, foot, raw","Sheep, foot, raw",,"meat, egg and fish",raw meat,lamb and mutton,204,,0,18.1,,14.6,,0,0.19,0,,protein_high;fat_high
sheep-head-raw_21005,21005,"Sheep, head, raw","Sheep, head, raw",,"meat, egg and fish",raw meat,lamb and mutton,204,,0,18.1,,14.6,,0,0.19,0,,protein_high;fat_high
mutton-leg-raw_21006,21006,"Mutton, leg, raw","Mutton, leg, raw",,"meat, egg and fish",raw meat,lamb and mutton,225,,0,18,,17,,0,0.2,0,64,protein_high;fat_high
lamb-cutlet-raw_21500,21500,"Lamb, cutlet, raw","Lamb, cutlet, raw",,"meat, egg and fish",raw meat,lamb and mutton,368,368.1,0,14.4,0,34.5,0,0,0.17,0,50.2,protein_high;carb_low;fat_high
lamb-leg-raw_21502,21502,"Lamb, leg, raw","Lamb, leg, raw",,"meat, egg and fish",raw meat,lamb and mutton,128,128.1,0,20,0.48,5.13,0,0,0.12,0,74.5,protein_high;carb_low;fat_moderate
lamb-shoulder-raw_21504,21504,"Lamb, shoulder, raw","Lamb, shoulder, raw",,"meat, egg and fish",raw meat,lamb and mutton,170,170.4,0,18.3,0.45,10.6,0.3,0,0.2,0,70.2,protein_high;carb_low;fat_high
lamb-shoulder-lean-raw_21505,21505,"Lamb, shoulder, lean, raw","Lamb, shoulder, lean, raw",,"meat, egg and fish",raw meat,lamb and mutton,139,139.2,0,19.6,0,6.76,0,0,0.18,0,73,protein_high;carb_low;fat_moderate
lamb-neck-raw_21514,21514,"Lamb, neck, raw","Lamb, neck, raw",,"meat, egg and fish",raw meat,lamb and mutton,195,,0,18,,13.7,,0,0.2,0,68.2,protein_high;fat_high
lamb-saddle-raw_21515,21515,"Lamb, saddle, raw","Lamb, saddle, raw",,"meat, egg and fish",raw meat,lamb and mutton,236,235.6,0,17.5,0,18.4,0,0,0.14,0,63.8,protein_high;carb_low;fat_high
lamb-chop-fillet-raw_21516,21516,"Lamb, chop fillet, raw","Lamb, chop fillet, raw",,"meat, egg and fish",raw meat,lamb and mutton,242,241.6,0,17.6,2.3,18,0,0,0.18,0,64,protein_high;carb_low;fat_high
lamb-rib-chop-raw_21517,21517,"Lamb, rib chop, raw","Lamb, rib chop, raw",,"meat, egg and fish",raw meat,lamb and mutton,276,275.5,0,16.9,0,23.1,0,0,0.2,0,59.3,protein_high;carb_low;fat_high
lamb-chop-raw-average_21521,21521,"Lamb, chop, raw (average)","Lamb, chop, raw",note:average,"meat, egg and fish",raw meat,lamb and mutton,273,272.3,0,16.3,0.92,22.6,0.063,0,0.19,0,60,protein_high;carb_low;fat_high
lamb-chop-decouverte-raw_21525,21525,"Lamb, chop ""découverte"", raw","Lamb, chop ""découverte"", raw",,"meat, egg and fish",raw meat,lamb and mutton,205,205.7,0,16.3,1.38,15,0.3,0,0.21,0,66.5,protein_high;carb_low;fat_high
wild-boar-raw_14002,14002,"Wild boar, raw","Wild boar, raw",,"meat, egg and fish",raw meat,game,147,147,0,20.7,0,7.13,0,0,0.2,0,70,protein_high;carb_low;fat_moderate
hare-meat-raw_14004,14004,"Hare, meat, raw","Hare, meat, raw",,"meat, egg and fish",raw meat,game,111,110.4,0,21.6,0,2.67,0,0,0.15,0,73.3,protein_high;carb_low;fat_low
venison-roebuck-raw_14005,14005,"Venison (roebuck), raw","Venison, raw",roebuck,"meat, egg and fish",raw meat,game,110,110,0,23,0,2,0,0,0.053,0,,protein_high;carb_low;fat_low
venison-hart-raw_14006,14006,"Venison (hart), raw","Venison, raw",hart,"meat, egg and fish",raw meat,game,113,113.2,0,23.7,0,2.04,0,0,0.13,0,73.6,protein_high;carb_low;fat_low
pheasant-meat-raw_36401,36401,"Pheasant, meat, raw","Pheasant, meat, raw",,"meat, egg and fish",raw meat,game,127,127.2,0,23.3,0,3.78,0,0,0.094,0,72.2,protein_high;carb_low
pheasant-meat-and-skin-raw_36403,36403,"Pheasant, meat and skin, raw","Pheasant, meat and skin, raw",,"meat, egg and fish",raw meat,game,164,164.4,0,23.2,0,7.95,0,0,0.09,0,67.8,protein_high;carb_low;fat_moderate
horse-meat-raw_6900,6900,"Horse, meat, raw","Horse, meat, raw",,"meat, egg and fish",raw meat,other meats,167,167.6,0,18.8,0.6,10,,0,0.16,0,70,protein_high;carb_low;fat_high
horse-steak-raw_6901,6901,"Horse, steak, raw","Horse, steak, raw",,"meat, egg and fish",raw meat,other meats,129,128.6,0,21.4,0.4,4.6,,0,0.13,0,72.6,protein_high;carb_low
horse-topside-raw_6903,6903,"Horse, topside, raw","Horse, topside, raw",,"meat, egg and fish",raw meat,other meats,106,,0,22.7,,1.68,,0,,0,,protein_high;fat_low
horse-sirloin-steak-raw_6904,6904,"Horse, sirloin steak, raw","Horse, sirloin steak, raw",,"meat, egg and fish",raw meat,other meats,121,,0,22.2,,3.58,,0,,0,,protein_high
horse-rib-steak-raw_6905,6905,"Horse, rib steak, raw","Horse, rib steak, raw",,"meat, egg and fish",raw meat,other meats,118,,0,22.1,,3.34,,0,,0,,protein_high
young-goat-raw_21800,21800,"Young goat, raw","Young goat, raw",,"meat, egg and fish",raw meat,other meats,103,103.2,0,20.6,0,2.31,,0,0.21,0,75.8,protein_high;carb_low;fat_low
rabbit-meat-raw_34001,34001,"Rabbit, meat, raw","Rabbit, meat, raw",,"meat, egg and fish",raw meat,other meats,189,188.6,0,20.4,0.66,11.6,0,0,0.14,0,68.1,protein_high;carb_low;fat_high
