uid,ciqual_code,name,name_core,name_tags,main_group,sub_group,sub_sub_group,kcal_sanitized,kcal_calc_ml,energy_flag_ml,protein_g_100g_ml,carbohydrate_g_100g_ml,fat_g_100g_ml,sugars_g_100g_ml,fibres_g_100g_ml,salt_g_100g_ml,alcohol_g_100g_ml,water_g_100g_ml,macro_tags
soup-chorba-frik-w-meat-and-frik_25915,25915,"Soup, chorba frik, w meat and frik","Soup, chorba frik, w meat and frik",,starters and dishes,soups,,62.9,59.1,0,3.75,5.4,2.5,0.9,1.9,0.84,0,85.1,carb_moderate;fat_low
soup-minestrone-prepacked-to-be-reheated_25916,25916,"Soup, minestrone, prepacked, to be reheated","Soup, minestrone, prepacked, to be reheated",prepacked,starters and dishes,soups,,48.8,45.2,0,1.2,5.6,2,1.7,1.8,0.75,0,89.4,protein_low;carb_moderate;fat_low
soup-pistou-basil-garlic-and-olive-oil-dehydrated-and-reconstituted_25917,25917,"Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted","Soup, pistou, dehydrated and reconstituted",basil;garlic_and_olive_oil,starters and dishes,soups,,30.4,28.8,0,1.2,5.2,0.35,1.2,0.8,0.64,0,89.4,protein_low;carb_moderate;fat_low
soup-fish-and-or-crustacean-dehydrated-and-reconstituted_25919,25919,"Soup, fish and/or crustacean, dehydrated and reconstituted","Soup, fish and/or crustacean, dehydrated and reconstituted",,starters and dishes,soups,,29,28.5,0,0.91,5.09,0.5,1.06,0.21,0.63,0,90.6,protein_low;carb_moderate;fat_low
soup-asian-style-with-noodles-dehydrated-and-reconstituted_25923,25923,"Soup, Asian-style with noodles, dehydrated and reconstituted","Soup, Asian-style with noodles, dehydrated and reconstituted",style:asian;with_noodles,starters and dishes,soups,,29.8,28.8,0,0.97,5.25,0.44,1.21,0.49,0.84,0,93.3,protein_low;carb_moderate;fat_low
soup-moroccan-dehydrated-and-reconstituted_25924,25924,"Soup, Moroccan, dehydrated and reconstituted","Soup, Moroccan, dehydrated and reconstituted",,starters and dishes,soups,,34.3,32.8,0,1.2,5.77,0.55,1.49,0.72,0.8,0,90,protein_low;carb_moderate;fat_low
soup-leek-and-potato-dehydrated-and-reconstituted_25925,25925,"Soup, leek and potato, dehydrated and reconstituted","Soup, leek and potato, dehydrated and reconstituted",,starters and dishes,soups,,26.1,25.6,0,0.63,4.84,0.41,0.91,0.28,0.72,0,92.8,protein_low;carb_low;fat_low
soup-chicken-and-vegetables-dehydrated-and-reconstituted_25928,25928,"Soup, chicken and vegetables, dehydrated and reconstituted","Soup, chicken and vegetables, dehydrated and reconstituted",,starters and dishes,soups,,27.3,26.2,0,0.99,4.58,0.44,0.55,0.51,0.73,0,,protein_low;carb_low;fat_low
broth-stock-or-bouillon-beef-dehydrated-and-reconstituted_25930,25930,"Broth, stock or bouillon, beef, dehydrated and reconstituted","Broth, stock or bouillon, beef, dehydrated and reconstituted",,starters and dishes,soups,,9.05,9.1,0,0.6,1.33,0.15,0.33,0,0.74,0,97.6,protein_low;carb_low;fat_low
soup-asparagus-dehydrated-and-reconstituted_25932,25932,"Soup, asparagus, dehydrated and reconstituted","Soup, asparagus, dehydrated and reconstituted",,starters and dishes,soups,,35.3,34.8,0,0.6,5.14,1.31,0.99,0.28,0.76,0,90.8,protein_low;carb_moderate;fat_low
