food_id,canonical_name,display_name,food_family_name,entity_level,food_group,food_subgroup,energy_kcal_100g,protein_g_100g,carbs_g_100g,fat_g_100g,food_subgroup_detail,processing_state,preservation_state,fibre_g_100g,sugars_g_100g,salt_g_100g,water_g_100g,alcohol_g_100g,helper_macro_profile,helper_use_as_protein,helper_use_as_carb_side,helper_use_as_veg_side,helper_is_sweet,helper_is_salty,helper_is_drink,helper_is_vegetarian,helper_is_vegan,helper_protein_bucket,helper_carb_bucket,helper_veg_bucket,primary_source_uid,primary_source_name,primary_source_ciqual_code,primary_source_name_tags,qc_macro_complete,qc_taxonomy_complete,qc_canonicalization_status,qc_scope_status,qc_source_merge_count,qc_notes
food_butter_60_62_fat_light_lightly_salted,butter_60_62_fat_light_lightly_salted,"Butter, 60-62% fat, light, lightly salted","Butter, 60-62 fat, light, lightly salted",semi_atomic,fats and oils,butters,555.0,0.9,0.5,61.0,,,,0.0,0.5,1.13,37.0,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-60-62-fat-light-lightly-salted_16411,"Butter, 60-62% fat, light, lightly salted",16411,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_60_62_fat_light_unsalted,butter_60_62_fat_light_unsalted,"Butter, 60-62% fat, light, unsalted","Butter, 60-62 fat, light",semi_atomic,fats and oils,butters,550.0,0.56,0.7,60.6,,,,0.0,0.0,0.045,37.7,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-60-62-fat-light-unsalted_16410,"Butter, 60-62% fat, light, unsalted",16410,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_80_fat_lightly_salted,butter_80_fat_lightly_salted,"Butter, 80% fat, lightly salted","Butter, 80 fat, lightly salted",semi_atomic,fats and oils,butters,738.0,0.72,0.55,81.4,,,,0.0,0.39,1.9,15.3,0.0,protein_low;carb_low;fat_high,False,False,False,False,True,,,,,,,butter-80-fat-lightly-salted_16402,"Butter, 80% fat, lightly salted",16402,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_80_fat_salted,butter_80_fat_salted,"Butter, 80% fat, salted","Butter, 80 fat",semi_atomic,fats and oils,butters,732.0,0.5,0.68,80.8,,,,0.0,,2.52,15.7,0.0,protein_low;carb_low;fat_high,False,False,False,False,True,,,,,,,butter-80-fat-salted_16403,"Butter, 80% fat, salted",16403,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_82_fat_unsalted,butter_82_fat_unsalted,"Butter, 82% fat, unsalted","Butter, 82 fat",semi_atomic,fats and oils,butters,753.0,0.7,0.9,82.9,,,,0.0,0.83,0.063,15.4,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-82-fat-unsalted_16400,"Butter, 82% fat, unsalted",16400,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_82_fat_unsalted_easy_to_spread,butter_82_fat_unsalted_easy_to_spread,"Butter, 82% fat, unsalted, easy-to-spread","Butter, 82 fat",semi_atomic,fats and oils,butters,755.0,0.7,0.5,83.4,,,,0.0,,0.055,15.6,0.0,protein_low;carb_low;fat_high,False,False,False,False,False,,,,,,,butter-82-fat-unsalted-easy-to-spread_16404,"Butter, 82% fat, unsalted, easy-to-spread",16404,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_bean_or_yellow_bean_boiled_cooked_in_water,butter_bean_or_yellow_bean_boiled_cooked_in_water,"Butter bean or yellow bean, boiled/cooked in water",Butter bean or yellow bean,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,34.6,2.19,4.45,0.3,"vegetables, cooked",cooked,,2.7,2.2,0.0,89.6,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,,butter-bean-or-yellow-bean-boiled-cooked-in-water_20318,"Butter bean or yellow bean, boiled/cooked in water",20318,,True,True,normalized_from_source_name,accepted_core,1,
food_butter_bean_or_yellow_bean_canned_drained,butter_bean_or_yellow_bean_canned_drained,"Butter bean or yellow bean, canned, drained",Butter bean or yellow bean,semi_atomic,"fruits, vegetables, legumes and nuts",vegetables,20.9,1.22,3.48,0.23,"vegetables, cooked",,canned;drained,1.68,0.86,0.66,92.8,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,,butter-bean-or-yellow-bean-canned-drained_20063,"Butter bean or yellow bean, canned, drained",20063,canned,True,True,normalized_from_source_name,accepted_core,1,
food_butter_bean_or_yellow_bean_frozen_raw,butter_bean_or_yellow_bean_frozen_raw,"Butter bean or yellow bean, frozen, raw",Butter bean or yellow bean,atomic,"fruits, vegetables, legumes and nuts",vegetables,29.1,2.0,4.9,0.17,"vegetables, raw",raw,frozen,2.33,2.5,0.009,89.9,0.0,protein_low;carb_low;fat_low,True,False,True,False,False,,,,veggie,,,butter-bean-or-yellow-bean-frozen-raw_20203,"Butter bean or yellow bean, frozen, raw",20203,frozen,True,True,normalized_from_source_name,accepted_core,1,
food_butter_bean_or_yellow_bean_raw,butter_bean_or_yellow_bean_raw,"Butter bean or yellow bean, raw",Butter bean or yellow bean,atomic,"fruits, vegetables, legumes and nuts",vegetables,31.2,1.85,5.6,0.16,"vegetables, raw",raw,,2.45,,0.015,90.1,0.0,protein_low;carb_moderate;fat_low,True,False,True,False,False,,,,veggie,,,butter-bean-or-yellow-bean-raw_20195,"Butter bean or yellow bean, raw",20195,,True,True,normalized_from_source_name,accepted_core,1,
