recipe_id,nutrition_basis,servings_basis,total_weight_grams_estimated,energy_kcal_total,protein_g_total,carbs_g_total,fat_g_total,fibre_g_total,sugars_g_total,salt_g_total,water_g_total,energy_kcal_per_serving,protein_g_per_serving,carbs_g_per_serving,fat_g_per_serving,fibre_g_per_serving,sugars_g_per_serving,salt_g_per_serving,water_g_per_serving,mapped_ingredient_count,unmapped_ingredient_count,mapped_weight_ratio,cache_status,cache_version,qc_notes,macro_relevant_mapped_weight_ratio,uses_pilot_servings_fallback,servings_estimation_method,servings_adjustment_applied,original_servings_basis,adjusted_servings_basis,quality_flags
recipes_v1_2_round42_dataset_127,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1726.89,3429.399,329.4663,492.82,20.2428,,,,,857.3497,82.3666,123.205,5.0607,,,,,7,5,1.0,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9991,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_128,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2806.88,1524.9825,107.4298,157.0964,22.6252,,,,,381.2456,26.8574,39.2741,5.6563,,,,,8,3,0.8384,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.7087,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_129,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1354.69,2288.5347,123.7764,211.9532,98.5726,,,,,572.1337,30.9441,52.9883,24.6432,,,,,6,5,0.8665,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.8665,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_130,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1353.15,1756.3501,156.7642,158.338,52.4329,,,,,439.0875,39.191,39.5845,13.1082,,,,,9,4,0.8952,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.7874,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_138,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1066.18,1815.0624,71.2399,298.8672,31.8553,,,,,453.7656,17.81,74.7168,7.9638,,,,,3,2,0.5746,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.5746,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_143,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1006.44,1997.5636,79.9143,294.2199,54.0865,,,,,499.3909,19.9786,73.555,13.5216,,,,,9,3,0.7576,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.7576,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_151,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,2247.5,2330.486,92.0649,388.139,39.0041,,,,,582.6215,23.0162,97.0348,9.751,,,,,10,2,0.9956,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.6165,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_152,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,1240.25,2631.745,64.2781,322.586,113.4865,,,,,657.9362,16.0695,80.6465,28.3716,,,,,9,0,0.8857,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=false,0.8857,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_166,recipes_v1_2_round42_dataset_mapped_ingredients_draft,4,894.0,2009.275,109.4272,296.92,46.2225,,,,,502.3187,27.3568,74.23,11.5556,,,,,7,5,0.9782,usable_from_mapped_ingredients,recipes_v1_2_round42_dataset_001,round42_dataset_curated_expansion; ; strong=true,0.9782,True,round37_bucket_default,False,4,4,
recipes_v1_2_round42_dataset_056,recipes_v1_2_manual_batch2_verified_fooddb_draft,4,1804.33,1786.1682,215.8127,133.5183,38.9057,,,,,446.5421,53.9532,33.3796,9.7264,,,,,9,4,1.0,usable_from_mapped_ingredients,recipes_v1_2_manual_batch2_001,round37_targeted_expansion; ; strong=false; manual_batch2_verified_fooddb,0.9977,True,round37_bucket_default,False,4,4,
